MA0006.1_Ahr::Arnt	MA0854.1_Alx1	MA0634.1_ALX3	MA0853.1_Alx4	MA0007.3_Ar	MA1463.1_ARGFX	MA0151.1_Arid3a	MA0601.1_Arid3b	MA0602.1_Arid5a	MA0004.1_Arnt	MA0259.1_ARNT::HIF1A	MA1464.1_ARNT2	MA0603.1_Arntl	MA0874.1_Arx	MA1100.2_ASCL1	MA1631.1_ASCL1(var.2)	MA0816.1_Ascl2	MA0604.1_Atf1	MA1632.1_ATF2	MA0605.2_ATF3	MA0833.2_ATF4	MA1466.1_ATF6	MA0834.1_ATF7	MA0461.2_Atoh1	MA1467.1_ATOH1(var.2)	MA1468.1_ATOH7	MA1633.1_BACH1	MA0591.1_Bach1::Mafk	MA1101.2_BACH2	MA1470.1_BACH2(var.2)	MA0877.2_BARHL1	MA0635.1_BARHL2	MA0875.1_BARX1	MA1471.1_BARX2	MA1634.1_BATF	MA0462.2_BATF::JUN	MA0835.2_BATF3	MA0463.2_BCL6	MA0731.1_BCL6B	MA0607.1_Bhlha15	MA1472.1_BHLHA15(var.2)	MA0818.1_BHLHE22	MA1635.1_BHLHE22(var.2)	MA0817.1_BHLHE23	MA0464.2_BHLHE40	MA0636.1_BHLHE41	MA0876.1_BSX	MA0878.2_CDX1	MA0465.2_CDX2	MA1473.1_CDX4
2	19	0	1	13	22	34	9	0	3	14	38	0	20	2	58	55	3	31	1	3	28	0	30	46	11	2	1	15	5	15	18	111	0	7	0	76	20	1	6	31	10	5	21	7	17	1	10	2	0
9	18	12	8	12	51	10	14	5	17	19	2	30	8	60	37	6	9	14	43	7	3	5	18	5	10	11	2	58	18	43	19	9	13	34	13	11	3	27	86	16	9	8	42	8	16	5	3	1	21
6	27	17	17	3	16	11	45	3	31	32	14	15	22	31	1	63	6	4	2	2	34	26	23	11	8	8	33	28	1	8	34	1	7	2	2	42	24	9	1	21	8	8	6	1	5	11	28	3	5
0	0	5	0	5	0	1	23	3	0	0	2	0	1	2	3	3	9	0	0	2	1	27	0	0	0	0	0	0	1	3	4	0	19	23	0	0	46	0	0	15	0	7	0	0	1	0	6	0	1
22	22	56	0	83	93	105	17	0	24	39	1	111	111	54	1	60	27	0	0	102	17	74	0	33	111	164	62	27	50	69	57	1	51	57	31	30	89	78	34	33	45	133	4	119	198	176	12	14	139
3	28	19	0	1	12	53	60	18	23	0	2	4	0	0	14	2	5	52	1	100	3	43	3	6	0	0	0	0	0	0	1	1	68	11	37	0	0	0	0	0	0	0	12	2	0	0	31	32	0
0	0	0	0	0	0	49	0	2	28	0	0	0	0	0	1	0	0	0	0	0	5	0	8	11	15	4	4	31	7	0	0	23	129	74	0	0	0	49	22	2	0	4	36	0	2	3	0	2	64
0	11	26	89	50	200	0	8	6	11	23	9	0	0	16	2	13	89	20	18	0	0	1	9	22	9	15	11	91	1	19	1	3	0	0	5	40	4	22	61	3	0	0	16	16	47	36	12	4	17
24	10	9	0	4	27	0	57	0	11	58	10	40	0	15	19	0	41	125	3	15	71	8	3	79	0	39	0	0	8	1	0	1	0	16	17	13	12	3	53	112	22	6	4	115	4	7	44	11	10
0	6	3	0	0	5	34	0	0	32	1	0	0	0	27	13	9	3	1	0	74	0	23	0	0	5	1	9	3	10	93	9	0	0	1	0	0	0	16	0	0	5	0	1	11	6	0	0	0	5
7	20	14	2	3	4	2	1	0	0	3	39	0	0	2	1	0	12	0	7	3	7	32	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	6	1	82	4	6	16	57	122	103
32	165	9	29	69	138	231	145	101	80	116	91	6	16	208	13	131	99	21	117	48	213	135	2	82	67	0	0	52	0	0	1	12	6	0	1	2	0	0	9	22	3	10	36	3	9	34	16	1	3
10	41	8	13	7	0	0	0	1	9	0	0	0	0	52	60	5	9	36	10	121	4	1	22	0	0	20	1	2	7	16	21	20	1	17	27	105	1	230	295	1	31	0	41	3	25	11	12	0	368
9	4	1	7	3	106	3	8	5	0	1	0	0	2	5	0	10	1	0	22	20	74	11	42	6	14	41	17	65	0	10	0	8	12	29	27	27	44	172	32	64	57	90	99	55	54	29	4	73	9
1	0	0	0	1	11	0	0	2	0	0	0	0	8	0	0	0	2	4	1	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	43	1	1	0	4	0
88	119	36	110	7	2	286	102	64	0	79	113	152	134	96	68	122	164	54	25	112	45	158	328	31	36	151	40	39	16	57	71	363	110	150	141	199	25	102	218	573	20	227	51	393	258	246	26	147	224
5	31	5	0	0	0	0	13	14	17	63	96	93	43	12	6	12	82	11	5	64	1	27	8	21	29	1	21	24	41	69	19	62	0	0	0	2	21	0	0	0	7	105	51	35	147	204	35	36	73
41	35	87	26	6	54	40	3	1	10	0	0	0	2	3	2	8	11	20	2	0	2	7	2	7	2	0	20	0	0	14	1	27	45	2	99	129	1	0	28	44	10	3	13	0	24	3	0	10	13
62	19	23	0	9	6	42	25	2	0	0	0	7	18	2	44	2	37	0	1	0	0	0	0	2	2	9	8	20	2	28	0	0	0	0	37	1	49	2	4	0	0	0	10	11	0	0	4	0	2
45	38	119	6	21	83	0	16	44	5	0	0	7	65	0	3	0	0	0	0	30	49	89	27	0	2	34	29	12	0	69	48	45	0	12	0	0	4	0	38	22	8	15	123	170	65	4	0	3	0
35	91	121	185	42	23	44	22	173	23	84	46	52	12	75	76	57	384	12	93	61	377	55	4	203	32	48	29	188	52	161	97	9	18	21	27	251	91	114	71	68	130	130	18	87	59	36	46	202	106
30	21	0	5	0	14	41	0	70	5	28	21	11	19	31	3	0	7	58	4	0	21	0	19	26	0	0	0	0	6	2	3	40	27	0	14	6	2	3	12	6	22	37	11	16	2	62	17	59	0
0	0	40	1	0	1	0	0	0	1	8	0	11	1	0	2	10	1	0	0	0	0	0	0	0	0	0	2	0	50	7	0	4	34	0	19	2	4	3	0	0	0	22	18	0	0	0	3	2	0
